,Title,Year,Source title,Abstract,Index Keywords,Cited by,Publisher,Language of Original Document,Document Type,countries,Funding Entities,Main Country,Period,Number of collaborators
567,Neovascular glaucoma secondary to sickle-cell retinopathy [5],1992,American Journal of Ophthalmology,[No abstract available],"['beta adrenergic receptor blocking agent', '  glucose', '  hemoglobin', '  lactate dehydrogenase', '  methazolamide', '  anterior eye chamber', '  blood chemistry', '  blood level', '  diabetes mellitus', '  disease association', '  electrophoresis', '  fluorescence angiography', '  human', '  intraocular pressure', '  laser coagulation', '  letter', '  neovascular glaucoma', '  ophthalmoscopy', '  priority journal', '  retina blood vessel', '  retina ischemia', '  retinopathy', '  sickle cell anemia', '  tonometry', '  visual acuity', '  vitreous hemorrhage']",10.0,,English,Letter,['United States'],[],['United States'],1984 - 1993,1
568,Recent advances in the treatment of proliferative sickle cell retinopathy,1992,Current Opinion in Ophthalmology,[No abstract available],"['hydroxyurea', '  nifedipine', '  timolol', '  human', '  proliferative retinopathy', '  review', '  sickle cell anemia']",3.0,,English,Review,['Jamaica'],[],['Jamaica'],1984 - 1993,1
569,Polysaccharide encapsulated bacterial infection in sickle cell anemia: A thirty year epidemiologic experience,1992,American Journal of Hematology,"Annual age‐specific incidence rates of Streptococcus pneumoniae or Haemophilus influenzae bacterial septicemia in sickle cell anemia (SS) were determined for the years of 1957 through 1989. Forty‐nine patients had 64 episodes of septicemia among a population of 786 SS patients observed for 8,138 person‐years. Peak frequency of infection occurred between 1968‐1971 and 1975‐1981 with a conspicuous absence of episodes in 1972, 1973, 1982‐1984, and 1986‐1987, thus demonstrating cycles of high and low attack rates. The annual age‐specific incidence rate of septicemia varied from 64.5 (1965) to 421.1 (1980) per 1,000 person‐years for those under 2 years of age and never exceeded 10.2 per 1,000 in those over 4 years of age. Following the introduction of pneumococcal polyvalent vaccine in 1978, incidence of infection decreased in SS children greater than 2 years of age. No modification of the risk of infection was observed in immunized children less than 2 years of age. During these three decades, there has been a ten‐fold increase in the number of SS adults over 20 years of age. The relative risk of chronic sickle complications comparing the survivors of septicemia to the non‐infected patients was: subsequent death 1.76, retinopathy 4.06, avascular necrosis 1.95, symptomatic cholelithiasis 1.33, stroke 1.30, and priapsim 1.26. These data suggest that prognosis for lifetime severe SS is initially manifested as an increased risk of septicemia during childhood. Copyright © 1992 Wiley‐Liss, Inc., A Wiley Company","['pneumococcus vaccine', '  adolescent', '  adult', '  article', '  bacterial infection', '  child', '  controlled study', '  female', '  haemophilus influenzae', '  human', '  immunization', '  infant', '  major clinical study', '  male', '  priority journal', '  sickle cell anemia', '  streptococcus pneumoniae', '  Adolescent', '  Adult', '  Anemia', ' Sickle Cell', '  Child', '  Child', ' Preschool', '  Comparative Study', '  Epidemiologic Methods', '  Haemophilus Infections', '  Haemophilus influenzae', '  Haplotypes', '  Human', '  Incidence', '  Infant', '  Infant', ' Newborn', '  Life Tables', '  Pneumococcal Infections', '  Risk Factors', '  Streptococcus pneumoniae', '  Survival Analysis']",66.0,,English,Article,['United States'],[],['United States'],1984 - 1993,1
570,Sickle cell retinopathy.,1991,Insight (American Society of Ophthalmic Registered Nurses),"Sickle cell retinopathy was described as early as 1930 and research has been ongoing as to the pathophysiology of the disease, its effects on the eye and successful treatment. Disease stages have been identified and treatment modalities have been established for each stage. Research results and case reports have been published in medical journals available to physicians; however, there are no identifiable publications applicable to the nursing skills required to deal with this disease. Ophthalmic nurses should be knowledgeable of the sickle cell diseases and specifically the resultant retinopathy.","['article', '  blood', '  human', '  nursing', '  pathophysiology', '  peroperative care', '  postoperative care', '  preoperative care', '  retina neovascularization', '  sickle cell anemia', '  Anemia', ' Sickle Cell', '  Human', '  Intraoperative Care', '  Postoperative Care', '  Preoperative Care', '  Retinal Neovascularization']",0.0,,English,Article,[''],[],[],1984 - 1993,1
571,Relationship between peripheral vascular closure and proliferative retinopathy in sickle cell disease,1991,Graefe's Archive for Clinical and Experimental Ophthalmology,"In a study involving 97 patients with hemoglobin SC sickle cell disease (Hb SC) and 87 subjects with hemoglobin SS sickle cell disease (Hb SS) on the island of Curaçao, we found a higher incidence of peripheral retinal vascular closure and proliferative retinopathy in the former as compared with the latter. Examination of composite fluorescein angiograms obtained from 15 Hb SS and 36 Hb SC patients, whose mean and median age were the same and in whom more advanced stages of sickle retinopathy were equally represented, revealed statistically significantly smaller measurements of perfused retina (indicative of larger areas of non-perfusion) in Hb SC patients as compared with Hb SS patients (P=0.002, P=0.014) as well as in subjects exhibiting neovascularization as compared with those who did not (P=0.022, P=0.004). This suggests that a vaso-occlusive tendency in the retina is greater in individuals with Hb SC than in those with Hb SS; the more extensive ischemic areas provide a stimulus for neovascularization, explaining the higher prevalence of proliferative retinopathy in the former patients as compared with the latter. © 1991 Springer-Verlag.","['hemoglobin c', '  hemoglobin s', '  adult', '  article', '  blood vessel occlusion', '  disease classification', '  disease course', '  disease severity', '  fluorescence angiography', '  human', '  incidence', '  major clinical study', '  netherlands antilles', '  preschool child', '  priority journal', '  proliferative retinopathy', '  retina neovascularization', '  school child', '  sickle cell anemia', '  Adult', '  Anemia', ' Sickle Cell', '  Comparative Study', '  Fluorescein Angiography', '  Fundus Oculi', '  Human', '  Incidence', '  Netherlands Antilles', '  Prevalence', '  Retinal Artery Occlusion', '  Retinal Diseases', '  Retinal Neovascularization']",13.0,Springer-Verlag,English,Article,['Netherlands'],[],['Netherlands'],1984 - 1993,1
572,Sickle cell anemia: βS-Gene-cluster haplotypes as prognostic indicators of vital organ failure,1991,Seminars in Hematology,"Identification of the βs-gene-cluster haplo-type and α-gene status provide a useful tool to improve the possibility for early detection in high-risk SS patients. The DNA polymorphisms of the βs-gene-cluster modify the clinical course in sickle cell anemia especially as it involves the risk of end-stage organ failure of the kidney, lung, and brain. In both Africa and America, the CAR βs haplotype increases the risk of developing irreversible complications at an early age. The degree of anemia, the Hb F concentration, and the preservation (or lack thereof) of Gγ Hb F is haplotype dependent 52 and correlates with the overall clinical course of the patient.52,57 Further modulation of the clinical course by the coinheritance of α-thalassemia-2 tends to decrease the risk of soft tissue organ failure but increases the risk of osteonecrosis. A single individual can be expected to fit into the overall pattern. Some sickle related illness will eventually occur in all patients. In the presence of a Senegal haplotype, the patient's health is better, with the CAR haplotype it is always worse; severity is intermediate in the Benin. These genetic markers can be used to identify the endangered patient before the onset of irreversible major organ failure. The high risk SS patient with a CAR chromosome or one who is homozygous Ben without α-thalassemia-2 should be monitored closely for evidence of vasculopathy-induced microinfarction of the brain, kidneys, or lungs. Such a patient needs preventive therapy before suffering a major hemisphere stroke, losing kidney function, or developing cor pulmonale secondary to restrictive lung disease. By using a combination of genetic, clinical, and laboratory21 predictive variables together with noninvasive diagnostic techniques such as cerebral MRI or CT imaging and pulmonary function tests, it is possible to identify patients with ischemic damage before advanced progression. Bone marrow transplantation, long-term chemotherapy or other interventive measures should be considered relatively early before the brain, kidney, and lung vasculopathy progresses to irreversible organ damage. © 1991.","['adolescent', '  adult', '  article', '  brain', '  child', '  clinical article', '  female', '  gene expression', '  human', '  kidney disease', '  leg ulcer', '  lung disease', '  male', '  necrosis', '  priority journal', '  prognosis', '  retinopathy', '  sickle cell anemia', '  side effect', '  Adult', '  Age Factors', '  Anemia', ' Sickle Cell', '  Child', '  Globins', '  Haplotypes', '  Human', '  Multigene Family', '  Multiple Organ Failure']",109.0,,English,Article,['United States'],[],['United States'],1984 - 1993,1
573,Recent Approaches to the Treatment of Sickle Cell Anemia,1991,JAMA: The Journal of the American Medical Association,[No abstract available],"['hydroxyurea', '  adult', '  article', '  cardiomyopathy', '  case report', '  controlled study', '  human', '  male', '  priority journal', '  retinopathy', '  sickle cell anemia', '  Adult', '  Anemia', ' Sickle Cell', '  Case Report', '  Cell Count', '  Fetal Hemoglobin', '  Human', '  Hydroxyurea', '  Male', '  Reticulocytes']",16.0,,English,Article,['United States'],[],['United States'],1984 - 1993,1
574,Ocular manifestations of hematologic disorders and cancer,1991,Current Opinion in Ophthalmology,"The eye may be affected in several ways by many hematologic disorders and systemic malignancies. The effects on the eye may be due to the disease itself or to the therapeuticc agents used in treating the disease. This article reviews recent articles used in treating the disease. This article reviews recent articles describing ocular manifestations of β-thalassemia, sickle cell retinopathy, anticoagulation, leukemia, dysproteinemias, paraneoplastic syndromess affecting the eye, and the ocular effects of cancer chemotherapy.","['antineoplastic agent', '  BCG vaccine', '  busulfan', '  chlorambucil', '  chlormethine', '  cisplatin', '  corticosteroid', '  cyclophosphamide', '  cytarabine', '  doxorubicin', '  fludarabine', '  fluorouracil', '  ifosfamide', '  interferon', '  laetrile', '  methotrexate', '  mithramycin', '  mitomycin C', '  mitotane', '  nafoxidine', '  nitrosourea derivative', '  procarbazine', '  tamoxifen', '  tilorone', '  vincristine', '  blood clotting disorder', '  cancer chemotherapy', '  eye disease', '  eye toxicity', '  female', '  hematologic disease', '  human', '  male', '  review']",1.0,,English,Review,['United States'],[],[],1984 - 1993,1
575,Ocular findings in sickle cell patients on Curaçao,1991,International Ophthalmology,"We examined about half the estimated number (based on genefrequency) of sickle cell patients on the island of Curaçao. This study may represent one of the most comprehensive and aselective cross-sectional surveys available. Studying 81 Hb SS and 97 Hb SC patients, we were able to confirm the correlation between iris atrophy and proliferative sickle retinopathy (PSR), the correlation between Hb SC and proliferative sickle retinopathy (PSR) and the major role of PSR in blindness in sickle cell patients. In Hb SC patients over the age of 18 PSR occurred in 50%, leading to vitreous hemorrhage in 18% and to retinal detachment in 8%. We found a frequency of blindness in one eye (fingers counting or less) of 4% in the entire sickle population, and 6% among Hb SC patients. Bilateral blindness was rare: one Hb SS patient, due to cortical blindness. The relatively frequent occurrence of severe complications in a narrowly defined population should stimulate our efforts to prevent these from occurring. © 1991 Kluwer Academic Publishers.","['article', '  blindness', '  cerebral blindness', '  human', '  major clinical study', '  proliferative retinopathy', '  retinopathy', '  sickle cell anemia', '  Adolescent', '  Adult', '  Aged', '  Aged', ' 80 and over', '  Anemia', ' Sickle Cell', '  Blindness', '  Child', '  Child', ' Preschool', '  Cross-Sectional Studies', '  Fluorescein Angiography', '  Fundus Oculi', '  Hemoglobin SC Disease', '  Human', '  Infant', '  Infant', ' Newborn', '  Iris Diseases', '  Middle Age', '  Netherlands Antilles', '  Retinal Detachment', '  Retinal Diseases', '  Retinal Neovascularization', '  Vitreous Hemorrhage']",10.0,Kluwer Academic Publishers,English,Article,['Netherlands'],[],['Netherlands'],1984 - 1993,1
576,Influence of genotype on the natural history of untreated proliferative sickle retinopathy an angiographic study,1991,British Journal of Ophthalmology,"The natural history of untreated proliferative sickle retinopathy (PSR) has been observed in 35 patients (40 eyes) with homozygous sickle cell (SS) disease and in 112 patients (114 eyes) with sickle celi-haemoglobin C (SC) disease over a mean follow-up period of 4-5 years (range 0.5-14.0 years). In both genotypes progression of PSR was most frequent between ages 20 and 39 years. Spontaneous regression was more common in SS disease (p=0.01), and more likely to proceed to complete non-perfusion. In SC disease PSR tended to be stable in patients aged 40 and over, and non-perfused PSR lesions were significantly more likely to reperfuse (p=0.01) than in SS disease. In both genotypes regression was not influenced by size or elevation of the PSR lesion. The tendency for PSR to regress in SS disease suggests that treatment is unneessary in SS patients aged 40 and over.","['adult', '  article', '  female', '  fluorescence angiography', '  genotype', '  history', '  human', '  major clinical study', '  male', '  priority journal', '  proliferative retinopathy', '  sickle cell anemia', '  Adolescent', '  Adult', '  Age Factors', '  Anemia', ' Sickle Cell', '  Female', '  Genotype', '  Hemoglobin SC Disease', '  Human', '  Male', '  Middle Age', '  Retinal Diseases', '  Retinal Vessels']",25.0,BMJ Publishing Group,English,Article,['Jamaica'],[],['Jamaica'],1984 - 1993,1
577,A Randomized Clinical Trial of Scatter Photocoagulation of Proliferative Sickle Cell Retinopathy,1991,Archives of Ophthalmology,"A randomized prospective clinical trial of argon laser scatter photocoagulation therapy for proliferative sickle cell retinopathy was performed on 116 patients (174 eyes) in Kingston, Jamaica. Ninety-nine eyes were treated with scatter photocoagulation and 75 eyes served as controls. The average length of followup was 42 months for the control eyes and 47 months for the treated eyes. Prolonged loss of visual acuity was statistically significantly reduced in the treated eyes. The incidence of vitreous hemorrhage was also significantly reduced in the treated eyes after controlling for the previously defined risk factors of vitreous hemorrhage and extent of proliferative sickle cell retinopathy at entry into the study. There were no complications associated with argon laser scatter photocoagulation. Scatter photocoagulation of proliferative sickle cell retinopathy is currently the most effective and safe way to treat patients with sea fan neovascularization. © 1991, American Medical Association. All rights reserved.","['adult', '  article', '  controlled study', '  human', '  laser coagulation', '  major clinical study', '  priority journal', '  proliferative retinopathy', '  retinopathy', '  sickle cell anemia', '  Adult', '  Female', '  Follow-Up Studies', '  Hemoglobin SC Disease', '  Human', '  Light Coagulation', '  Male', '  Prospective Studies', '  Retinal Diseases', '  Retinal Neovascularization', '  Scattering', ' Radiation', ' "" Support', ' Non-U.S. Govt""', ' "" Support', ' U.S. Govt', ' P.H.S.""', '  Survival Analysis', '  Visual Acuity', '  Vitreous Hemorrhage']",51.0,,English,Article,"['Jamaica', ' United States']","[National Institutes of Health, NIH, National Heart, Blood Institute, National Eye Institute]",[],1984 - 1993,2
578,Assessment of the eye at risk of neovascularisation,1991,Eye (Basingstoke),[No abstract available],"['angiography', '  central retina vein occlusion', '  conference paper', '  diabetic retinopathy', '  electroretinography', '  eye', '  human', '  retina neovascularization', '  retinopathy', '  risk', '  sickle cell', '  Aged', '  Anemia', ' Sickle Cell', '  Case Report', '  Diabetic Retinopathy', '  Electroretinography', '  Female', '  Human', '  Ischemia', '  Male', '  Middle Age', '  Neovascularization', ' Pathologic', '  Retinal Diseases', '  Retinal Vein Occlusion', '  Retinal Vessels', '  Risk Factors', ' "" Support', ' U.S. Govt', ' P.H.S.""']",6.0,,English,Article,['United States'],"[National Institutes of Health, NIH, National Eye Institute]",['United States'],1984 - 1993,1
579,An update on techniques of photocoagulation treatment of proliferative sickle cell retinopathy,1991,Eye (Basingstoke),"Proliferative sickle cell retinopathy (PSR) can lead to visual loss from vitreous haemorrhage and traction or rhegmatogenous retinal detachment. We review two techniques of photocoagulation for PSR, feeder vessel photocoagulation and scatter photocoagulation. A prospective randomised trial of feeder vessel photocoagulation for PSR demonstrated that the incidence of vitreous haemorrhage and visual loss was diminished in eyes which were treated. Since this technique of treatment is difficult and can be associated with choroidal neovascularisation and retinal tears, scatter photocoagulation has also been tested. A prospective randomised trial of scatter photocoagulation for PSR demonstrated a decreased incidence of vitreous haemorrhage and visual loss in treated eyes compared to untreated eyes. No complications of scatter treatment were noted. We presently recommend local scatter photocoagulation to areas ofPSR. In unreliable patients, we recommend 360 degrees of peripheral circumferential treatment as otherwise new seafans will develop. If scatter photocoagulation does not result in sufficient regression of the neovascularisation and vision threatening complications such as vitreous haemorrhage continue, feeder vessel treatment can be used to supplement the scatter treatment. © 1991, College of Ophthalmologists. All right reserved.","['xenon', '  argon laser', '  arteriole', '  choroid vascularization', '  conference paper', '  controlled study', '  follow up', '  human', '  intermethod comparison', '  laser coagulation', '  major clinical study', '  proliferative retinopathy', '  retina detachment', '  retina tear', '  sickle cell', '  technique', '  venule', '  visual impairment', '  vitreous hemorrhage', '  Anemia', ' Sickle Cell', '  Blindness', '  Human', '  Light Coagulation', '  Postoperative Complications', '  Prospective Studies', '  Retinal Diseases', '  Risk Factors', ' "" Support', ' Non-U.S. Govt""', ' "" Support', ' U.S. Govt', ' P.H.S.""', '  Vitreous Hemorrhage']",18.0,,English,Article,"['Jamaica', ' United States']","[National Institutes of Health, NIH, National Heart, Blood Institute, RPB]",['United States'],1984 - 1993,2
580,Benign ocular manifestations of sickle cell anemia in Arabs.,1991,Indian journal of ophthalmology,"A complete ophthalmic examination was carried out for each of 54 adult patients with various forms of sickle cell disease. Mild and infrequent signs in the anterior and posterior segments were found, but there were no cases of proliferative sickle cell retinopathy detected. These findings were compared with the reported findings in the black Americans of African origin with the same disease. The probable explanations were the high prevalence of fetal haemoglobin in Arab sicklers, the rarity of sickle cell disease among the Arabs and the possible existence of a different gene.","['adolescent', '  adult', '  article', '  comparative study', '  ethnology', '  female', '  human', '  male', '  middle aged', '  retina disease', '  sickle cell anemia', '  Adolescent', '  Adult', '  Anemia', ' Sickle Cell', '  Female', '  Humans', '  Male', '  Middle Aged', '  Retinal Diseases']",3.0,,English,Article,['Jordan'],[],[],1984 - 1993,1
581,Treatment of iatrogenic choriovitreal neovascularisation in sickle cell disease,1991,British Journal of Ophthalmology,The effect of scatter photocoagulation on the perfusion of iatrogenic choriovitreal neovascularisation (CVN) has been assessed by a randomised trial in 35 CVN lesions in 18 eyes with proliferative sickle retinopathy. No difference in size or vascularity of CVN lesions was apparent between the nine treated and nine control eyes over a median follow-up of 42 months. Scatter photocoagulation by the stated protocol was not effective in the treatment of CVN.,"['adult', '  article', '  clinical article', '  human', '  iatrogenic disease', '  laser coagulation', '  perfusion', '  priority journal', '  retina neovascularization', '  retinopathy', '  sickle cell anemia', '  visual acuity', '  Adult', '  Anemia', ' Sickle Cell', '  Choroid', '  Human', '  Light Coagulation', '  Middle Age', '  Neovascularization', ' Pathologic', '  Vitreous Body']",4.0,BMJ Publishing Group,English,Article,"['Jamaica', ' United States']",[],['Jamaica'],1984 - 1993,2
582,An Unusual Cause of Transient Ischemic Attacks: Case Report,1991,Annals of Vascular Surgery,"A 42-year-old black man, a physician, presented with a three week history of intermittent right arm and leg numbness and weakness, lasting about five minutes. This was not associated with headache, visual changes, seizures, aphasia or loss of consciousness. There was no history of head trauma, migraines, or previous attacks. Positive findings on physical examination were confined to a blood pressure of 182/80; evidence of hypertensive retinopathy; normal carotid pulses without bruits; and a Grade II/VI systolic ejection murmur with normal sinus rhythm. Initial hematocrit was 25.7%; white blood cell count 14,000 cu/mm with a normal differential; platelet count 532,000 cu/mm. An electrocardiogram showed left ventricular hypertrophy. Duplex scan demonstrated normal carotid bifurcations bilaterally, and arteriogram revealed no carotid or intracranial pathology. Hemoglobin electrophoresis revealed sickle cell disease of the SS type. He was treated with transfusion therapy and has remained asymptomatic at 40 months. Approximately 20% of children with the SS type sickle cell disease will have cerebrovascular symptoms caused by small intracranial artery occlusion due to sludging of the abnormal hemoglobin. This, unusual cause of transient ischemic attacks can occur in older patients of African-American ancestry and must be recognized to enable early and effective therapy with exchange transfusion. © 1991, Annals of Vascular Surgery, Inc.. All rights reserved.","['article', '  case report', '  heart muscle ischemia', '  human', '  united states', '  vascular surgery', '  Adult', '  Blood Transfusion', '  Case Report', '  Hemoglobin SC Disease', '  Human', '  Ischemic Attack', ' Transient', '  Male']",0.0,,English,Article,['United States'],[],['United States'],1984 - 1993,1
583,Foveal Avascular Zone Diameter and Sickle Cell Disease,1991,Archives of Ophthalmology,"Patients with sickle cell disease can have a distinct retinopathy in which the posterior pole shows abnormalities, including perifoveolar vascular abnormalities. The foveal avascular zone (FAZ) was examined using fluorescein angiography in patients with sickle cell disease and in healthy normal controls. The longest FAZ diameters of 38 patients (51 eyes) with sickle cell disease were compared with those of the 48 patients (60 eyes) in the control group. The average of the longest FAZ diameter in the patients with sickle cell disease was 1.00 mm compared with 0.61 mm for the controls. This difference was statistically significant (P<.00001). Within the sickle cell group, there were no significant differences in the FAZ diameters with respect to degree of retinopathy, type of sickle hemoglobinopathy, or visual acuity. Thus, an enlarged FAZ diameter in patients with sickle cell disease is confirmed. © 1991, American Medical Association. All rights reserved.","['adult', '  clinical article', '  conference paper', '  controlled study', '  female', '  human', '  male', '  priority journal', '  retina fovea', '  retinopathy', '  sickle cell anemia', '  Adult', '  Female', '  Fluorescein Angiography', '  Fovea Centralis', '  Hemoglobin SC Disease', '  Hemoglobin', ' Sickle', '  Human', '  Male', '  Photography', '  Retinal Diseases', '  Visual Acuity']",39.0,,English,Article,['United States'],[],['United States'],1984 - 1993,1
584,A Randomized Clinical Trial of Feeder Vessel Photocoagulation of Sickle Cell Retinopathy: A Long-term Follow-up,1991,Ophthalmology,"Long-term follow-up of patients enrolled in a randomized prospective trial of feeder vessel photocoagulation for proliferative sickle retinopathy has been completed. Of the 44 patients enrolled in Chicago, nearly a decade followup has been achieved on 29 patients (45 eyes). There were 20 control untreated eyes and 25 argon laser-treated eyes. Prolonged loss of visual acuity was rare in both groups. Argon laser photocoagulation has had a sustained effect on reducing the incidence of vitreous hemorrhage and visual loss from vitreous hemorrhage. Nine (45%) of 20 control eyes had vitreous hemorrhage, and it was recurrent in six (66%) of these nine eyes. A single episode was the only hemorrhagic event in the treated eyes. The laser-induced complications of choroidal neovascularization or retinal detachment were not associated with longterm visual sequelae. New sea fan evolution in 47% of study eyes suggests that these patients require long-term surveillance. © 1991, American Academy of Ophthalmology, Inc. All rights reserved.","['clinical article', '  conference paper', '  controlled study', '  female', '  human', '  laser coagulation', '  male', '  priority journal', '  proliferative retinopathy', '  retinopathy', '  sickle cell anemia', '  visual acuity', '  vitreous hemorrhage']",19.0,,English,Article,['United States'],"[National Institutes of Health, NIH, National Heart, Blood Institute, National Eye Institute]",['United States'],1984 - 1993,1
585,Relationship of clinical severity to packed cell rheology in sickle cell anemia,1991,Blood,"There is wide variation in the clinical manifestations of sickle cell disease (SCD) from one affected individual to another. Many investigators have sought to discern parameters that would explain this variability. In the present studies we have attempted to correlate the frequency of painful events and the extent of end organ failure in SCD with rheologic properties of packed suspensions of sickle cells, using a magneto-acoustic ball microrheometer developed in our laboratory. Using this device we have measured the steady-state viscosity, and the viscous and elastic moduli of cell suspensions in 16 individuals with hemoglobin SS disease who were untransfused and in their steady state. The rheologic parameters were then correlated with clinical parameters. The clinical parameters measured were emergency department visits, hospitalizations, hemoglobin, reticulocyte count, age, and end organ failure (nephropathy, avascular necrosis of bone, stroke, retinopathy, resting hypoxemia after acute chest syndrome(s), leg ulcer, and priapism with impotence). The P value for the correlation between the steady state viscosity and end organ failure was .001 with a correlation coefficient (R value) of .73. The P value for the correlation between the viscous modulus of viscosity and end organ failure was .00006 with an R value of .83. The P value for the correlation between the elastic modulus of viscosity and end organ failure was .0006 with an R value of .76. However, there was no significant correlation between any component of packed cell rheology and emergency department visits or hospitalizations for pain.","['adult', '  article', '  blood rheology', '  clinical article', '  human', '  human cell', '  multiple organ failure', '  priority journal', '  sickle cell anemia', '  viscosity']",16.0,,English,Article,['United States'],"[National Heart, Blood Institute]",['United States'],1984 - 1993,1
586,"Large-vessel occlusion in sickle cell disease: Pathogenesis, clinical consequences, and therapeutic implications",1991,Medical Hypotheses,"Much of the morbidity and mortality in sickle cell disease (SCD) is caused by tissue ischemia and infarction resulting from vascular occlusion. Research in this area has been dominated by the hypothesis that vascular occlusion in SCD is due primarily to microvascular obstruction by sickle erythrocytes (SS RBC), yet there is no direct evidence that microvascular occlusion is responsible for any of the vasocclusive complications of SCD. In this paper an alternate hypothesis is proposed: that thrombotic occlusion of larger arteries and veins is an important factor in many of the vasocclusive complications of SCD. Large-vessel cerebral arterial disease (intimal hyperplasia with superimposed thrombosis) has clearly been established as the most important cause of stroke in SCD, and considerable evidence suggests that pulmonary arterial thrombosis/embolism is a major cause of pulmonary infarction and hypertension. The involvement of large-vessel thrombosis in painful crisis, aseptic necrosis of bone, priapism, leg ulcers, retinopathy, and miscarriage has not been adequately investigated. Large-vessel occlusion in SCD is probably a consequence of the abnormal adhesive and procoagulant properties of SS RBC, which produce endothelial damage, secondary intimal proliferation, and thrombosis. Techniques currently used to treat large-vessel occlusion in other disorders (antiplatelet and anticoagulant agents, thrombolytic therapy, angioplasty, endarterectomy, and vascular bypass surgery) should be considered in sickle cell subjects with large-vessel occlusion, especially in the cerebral vasculature. © 1991.","['acetylsalicylic acid', '  anticoagulant agent', '  antithrombocytic agent', '  fibrinolytic agent', '  blood vessel occlusion', '  brain vein', '  human', '  priority journal', '  review', '  sickle cell anemia', '  Anemia', ' Sickle Cell', '  Anticoagulants', '  Cerebrovascular Disorders', '  Female', '  Fibrinolytic Agents', '  Human', '  Lung Diseases', '  Male', '  Platelet Aggregation Inhibitors', '  Pregnancy', '  Vascular Diseases']",57.0,,English,Article,['United States'],[],['United States'],1984 - 1993,1
587,"Ocular findings in homozygous sickle cell disease in Jos, Nigeria",1990,African Journal of Medicine and Medical Sciences,[No abstract available],"['adult', '  article', '  child', '  eye disease', '  female', '  human', '  major clinical study', '  male', '  nigeria', '  retinopathy', '  sickle cell anemia', '  Adolescent', '  Adult', '  Age Factors', '  Anemia', ' Sickle Cell', '  Child', '  Child', ' Preschool', '  Eye Diseases', '  Female', '  Homozygote', '  Hospitals', ' University', '  Human', '  Incidence', '  Male', '  Nigeria', '  Ophthalmoscopy', ' "" Support', ' Non-U.S. Govt""']",4.0,,English,Article,"['Niger', ' Nigeria']",[],"['Niger', 'Nigeria']",1984 - 1993,2
588,Optociliary shunts and sickle retinopathy in a woman with sickle cell trait.,1990,Annals of ophthalmology,"We report a case of unilateral optociliary shunt vessels and sickle cell retinopathy in a patient with sickle cell trait. Sickle cell retinopathy has rarely been reported in patients with sickle cell trait hemoglobinopathy. To our knowledge, this is the first report of the association of sickle cell trait, unilateral sickle cell retinopathy, and ipsilateral optociliary shunt vessels.","['adult', '  arteriovenous fistula', '  article', '  case report', '  eye fundus', '  female', '  fluorescence angiography', '  human', '  pathology', '  retina blood vessel', '  retina disease', '  retina neovascularization', '  sickle cell anemia', '  sickle cell trait', '  Anemia', ' Sickle Cell', '  Arteriovenous Fistula', '  Case Report', '  Female', '  Fluorescein Angiography', '  Fundus Oculi', '  Human', '  Middle Age', '  Retinal Diseases', '  Retinal Neovascularization', '  Retinal Vessels', '  Sickle Cell Trait']",4.0,,English,Article,['Jersey'],[],[],1984 - 1993,1
589,Ocular findings in sickle cell disease on Curacao [VISUSBEDREIGENDE OOGAFWIJKINGEN BIJ PATIENTEN MET SIKKELCELZIEKTE OP CURACAO],1990,Nederlands Tijdschrift voor Geneeskunde,[No abstract available],"['adult', '  article', '  heredity', '  human', '  major clinical study', '  netherlands antilles', '  sickle cell retinopathy', '  female', '  fluorescence angiography', '  gene frequency', '  genetics', '  hemoglobin C disease', '  hemoglobin SC disease', '  male', '  neovascularization (pathology)', '  Netherlands Antilles', '  prospective study', '  retina disease', '  sickle cell anemia', '  thalassemia', '  visual disorder', '  Adult', '  Anemia', ' Sickle Cell', '  English Abstract', '  Female', '  Fluorescein Angiography', '  Gene Frequency', '  Hemoglobin C Disease', '  Hemoglobin SC Disease', '  Human', '  Male', '  Neovascularization', ' Pathologic', '  Netherlands Antilles', '  Prospective Studies', '  Retinal Diseases', '  Thalassemia', '  Vision Disorders']",3.0,,Dutch,Article,['Netherlands'],[],['Netherlands'],1984 - 1993,1
590,Retinal signs in sickle cell anaemia,1990,Eye (Basingstoke),[No abstract available],"['clinical article', '  human', '  letter', '  retinopathy', '  sickle cell anemia', '  Adult', '  Anemia', ' Sickle Cell', '  Female', '  Fetal Hemoglobin', '  Fluorescein Angiography', '  Human', '  Male', '  Reticulocytes', '  Retina']",4.0,,English,Article,['United States'],[],[],1984 - 1993,1
